"n";"left";"right";"middle";"random"
"cnt:5";2.560000000000001;5.760000000000002;3.920000000000001;4.097709330940036
0;0;0.06400000000000002;0.008000000000000002;0.023033428649890265
1;0.06400000000000002;0.5120000000000001;0.2160000000000001;0.2734536043431259
2;0.5120000000000001;1.7280000000000009;1.0;0.6789457028471355
3;1.7280000000000009;4.096000000000001;2.7440000000000007;3.406568675242738
4;4.096000000000001;8.0;5.832000000000001;5.8622719162672015
"cnt:10";3.2399999999999993;4.839999999999999;3.9799999999999995;3.9752919428116655
0;0;0.008000000000000002;0.0010000000000000002;0.007448170187877129
1;0.008000000000000002;0.06400000000000002;0.027000000000000014;0.0573312776101005
2;0.06400000000000002;0.2160000000000001;0.125;0.07534494003407724
3;0.2160000000000001;0.5120000000000001;0.3430000000000001;0.3619878168586602
4;0.5120000000000001;1.0;0.7290000000000001;0.915504495017187
5;1.0;1.7279999999999998;1.3310000000000004;1.1267459141801979
6;1.7279999999999998;2.7439999999999993;2.196999999999999;1.9357544294383642
7;2.7439999999999993;4.095999999999999;3.375;3.9162828190272156
8;4.095999999999999;5.831999999999998;4.912999999999998;4.319232414385809
9;5.831999999999998;7.999999999999997;6.858999999999999;7.160827437318838
"cnt:15";3.4844444444444433;4.551111111111109;3.9911111111111097;4.11560356688984
0;0;0.0023703703703703703;0.0002962962962962963;0.001883107033037333
1;0.0023703703703703703;0.018962962962962963;0.008000000000000002;0.00747383878513812
2;0.018962962962962963;0.06400000000000002;0.03703703703703705;0.05042356615530017
3;0.06400000000000002;0.1517037037037037;0.10162962962962964;0.13566495166406248
4;0.1517037037037037;0.2962962962962962;0.21599999999999997;0.18364898417848508
5;0.2962962962962962;0.5119999999999999;0.39437037037037026;0.3496678660340142
6;0.5119999999999999;0.8130370370370368;0.6509629629629627;0.7816543247653595
7;0.8130370370370368;1.2136296296296296;1.0;0.8478594012654148
8;1.2136296296296296;1.7279999999999998;1.4557037037037035;1.244904041786949
9;1.7279999999999998;2.37037037037037;2.032296296296296;1.9668406229481326
10;2.37037037037037;3.154962962962962;2.7439999999999993;3.1091688739203467
11;3.154962962962962;4.095999999999999;3.6050370370370364;4.051429571647931
12;4.095999999999999;5.207703703703702;4.629629629629628;5.194025748144382
13;5.207703703703702;6.504296296296294;5.831999999999998;6.190917889820061
14;6.504296296296294;7.999999999999997;7.226370370370368;6.7514639635251905
"cnt:60";3.867777777777789;4.134444444444457;3.9994444444444555;4.003251107438608
0;0;3.7037037037037037e-05;4.6296296296296296e-06;1.2726879130233051e-05
1;3.7037037037037037e-05;0.0002962962962962963;0.00012500000000000003;0.00020212792338200904
2;0.0002962962962962963;0.0010000000000000002;0.0005787037037037039;0.0008238758677252405
3;0.0010000000000000002;0.0023703703703703703;0.0015879629629629631;0.0021212658008101324
4;0.0023703703703703703;0.0046296296296296285;0.0033749999999999995;0.002382161839382519
5;0.0046296296296296285;0.007999999999999998;0.006162037037037035;0.006096692226090427
6;0.007999999999999998;0.0127037037037037;0.010171296296296293;0.011020709048497118
